id,name,localized_city,localized_neighborhood,city,public_address,lat,lng,preview_amenities,reviews_count,person_capacity,bathrooms,bedrooms,beds,guest_label,property_type_id,room_and_property_type,room_type,tier_id,kicker_content_messages,picture_count,star_rationg,user_first_name,user_has_profile_pic,user_is_superhost,cancel_policy,room_type_category,can_instant_book,night_cost,night_cost_with_fees,monthly_price_factor,rate_type,fees,link
6457553,Panoramic Sea & City Views 2nd floor Penthouse,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.65918,-5.94333,"Free parking,Wifi,Kitchen,Washer",21,6,1.5,3,5,6 guests,37,Entire condominium (condo),Entire home/apt,0,Entire condominium (condo),17,5.0, ,True,True,CANCEL_MODERATE,entire_home,False,94.0,94.0,1.0,nightly,0.0,https://www.airbnb.co.uk/rooms/6457553?&check_in=2022-02-15&check_out=2022-02-16
27030978,"""HOME FROM HOME WITH LOTS OF"" CEAD MILE FAILTE""",Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.58249,-5.99003,"Free parking,Wifi,Kitchen,Washer",32,10,2.0,4,8,10 guests,2,Private room in residential home,Private room,0,Private room,23,5.0, ,True,True,CANCEL_FLEXIBLE,private_room,True,94.0,94.0,1.0,nightly,0.0,https://www.airbnb.co.uk/rooms/27030978?&check_in=2022-02-15&check_out=2022-02-16
33976142,Spacious & Modern + Central Location|Couples Break,Belfast,0,Belfast,"Belfast, Antrim, United Kingdom",54.58706,-5.93638,"Wifi,Kitchen,Washer",30,7,2.0,3,4,7 guests,1,Entire rental unit,Entire home/apt,0,Entire rental unit,47,5.0, ,True,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,entire_home,True,95.0,95.0,0.97,nightly,0.0,https://www.airbnb.co.uk/rooms/33976142?&check_in=2022-02-15&check_out=2022-02-16
47139374,♛Stylish & Comfy | 5★ Location | Garden | Parking♛,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.59429,-5.90177,"Free parking,Wifi,Kitchen,Washer",10,4,1.0,2,2,4 guests,2,Entire residential home,Entire home/apt,0,Entire residential home,24,5.0, ,True,False,CANCEL_MODERATE,entire_home,True,94.0,94.0,0.8,nightly,0.0,https://www.airbnb.co.uk/rooms/47139374?&check_in=2022-02-15&check_out=2022-02-16
21889290,Belfast City Centre Apartment with balcony (A16),Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.60401,-5.93288,"Free parking,Wifi,Kitchen,Washer",114,4,2.0,2,2,4 guests,1,Entire rental unit,Entire home/apt,0,Entire rental unit,16,5.0, ,True,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,entire_home,False,95.0,95.0,0.8,nightly,0.0,https://www.airbnb.co.uk/rooms/21889290?&check_in=2022-02-15&check_out=2022-02-16
54175982,One Bedroom Apartment,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.60337,-5.92235,"Wifi,Kitchen,Washer",0,2,1.0,1,1,2 guests,47,Entire serviced apartment,Entire home/apt,0,Entire serviced apartment,0,0.0, ,True,False,CANCEL_FLEXIBLE,entire_home,True,95.0,95.0,0.75,nightly,0.0,https://www.airbnb.co.uk/rooms/54175982?&check_in=2022-02-15&check_out=2022-02-16
44690662,A Home From Home For Experienced Airbnb Guests,Carryduff,0,Carryduff,"Carryduff, Northern Ireland, United Kingdom",54.52553,-5.88142,"Free parking,Wifi,Kitchen,Washer",35,6,2.0,3,4,6 guests,2,Entire residential home,Entire home/apt,0,Entire residential home,33,5.0, ,True,True,CANCEL_MODERATE,entire_home,False,95.0,95.0,0.8,nightly,0.0,https://www.airbnb.co.uk/rooms/44690662?&check_in=2022-02-15&check_out=2022-02-16
36581592,STONEYBRIDGE LODGE - STUNNING BARN CONVERSION,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.59958,-5.81935,"Free parking,Wifi,Kitchen,Washer",76,6,2.5,3,5,6 guests,2,Entire residential home,Entire home/apt,0,Entire residential home,25,5.0, ,True,False,CANCEL_MODERATE,entire_home,True,95.0,95.0,0.62,nightly,0.0,https://www.airbnb.co.uk/rooms/36581592?&check_in=2022-02-15&check_out=2022-02-16
10654642,Holywood Hill Country Cottages,North Down,0,North Down,"North Down, United Kingdom",54.63491,-5.79339,"Free parking,Wifi,Kitchen,Washer",15,4,1.0,2,3,4 guests,60,Entire cottage,Entire home/apt,0,Entire cottage,20,5.0, ,True,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,entire_home,True,95.0,95.0,0.65,nightly,0.0,https://www.airbnb.co.uk/rooms/10654642?&check_in=2022-02-15&check_out=2022-02-16
23729686,Titanic Sailortown Belfast City Centre House✅✅✅✅✅,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.60862,-5.92065,"Free parking,Wifi,Kitchen,Washer",112,6,1.0,3,4,6 guests,36,Entire townhouse,Entire home/apt,0,Entire townhouse,13,4.5, ,True,False,CANCEL_BETTER_STRICT_WITH_GRACE_PERIOD,entire_home,True,95.0,95.0,0.7,nightly,0.0,https://www.airbnb.co.uk/rooms/23729686?&check_in=2022-02-15&check_out=2022-02-16
